"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]"
0.001,0.37,0.000245392,0.00352178,0.408,0.0856111
0.021,0.66,0.829908,0.409744,0.868261,0.0165842
0.041,1.14,1.08621,0.537216,1.15722,0.0308282
0.061,1.18,1.08635,0.537186,1.14031,0.0496806
0.081,1.18,1.03176,0.509736,1.12449,0.0674917
0.101,1.18,1.03383,0.51056,1.1021,0.0898778
0.12100000000000001,1.19,1.04887,0.517374,1.07868,0.11466
0.14100000000000001,1.19,1.05757,0.523417,1.05095,0.146501
0.161,1.2,1.06728,0.526518,1.02057,0.186653
0.181,1.21,1.09324,0.540159,1.00903,0.208104
0.20099999999999998,1.22,1.11454,0.551886,1.00268,0.225809
0.22099999999999997,1.25,1.12627,0.55684,1.00015,0.251014
0.24099999999999996,1.27,1.13893,0.563173,1.00075,0.269492
0.26099999999999995,1.29,1.15418,0.570151,1.00097,0.286617
0.28099999999999997,1.3,1.16681,0.577615,1.00092,0.302425
0.301,1.31,1.17961,0.583438,1.00214,0.317519
0.321,1.33,1.18994,0.588339,1.00203,0.333564
0.341,1.34,1.19728,0.592227,1.00258,0.345984
0.36100000000000004,1.35,1.20262,0.59446,1.00367,0.358465
0.38100000000000006,1.37,1.20706,0.596807,1.00423,0.366215
0.4010000000000001,1.38,1.21079,0.598295,1.00486,0.377452
0.4210000000000001,1.39,1.21227,0.599632,1.00517,0.386981
0.4410000000000001,1.4,1.21441,0.600631,1.00611,0.395826
0.46100000000000013,1.41,1.21514,0.600709,1.00713,0.409899
0.48100000000000015,1.43,1.21489,0.600666,1.00859,0.426949
0.5010000000000001,1.45,1.21591,0.601008,1.0093,0.44519
0.5210000000000001,1.48,1.21459,0.600489,1.00986,0.463331
0.5410000000000001,1.49,1.2148,0.600415,1.01098,0.481946
0.5610000000000002,1.51,1.21471,0.600445,1.0122,0.500601
0.5810000000000002,1.53,1.21442,0.600286,1.01303,0.519221
0.6010000000000002,1.56,1.21552,0.600978,1.01548,0.538047
0.6210000000000002,1.57,1.2153,0.600751,1.01666,0.556659
0.6410000000000002,1.59,1.21578,0.600766,1.01821,0.575337
0.6610000000000003,1.62,1.21564,0.600755,1.01996,0.594247
0.6810000000000003,1.64,1.2153,0.600674,1.0217,0.613225
0.7010000000000003,1.66,1.21577,0.600796,1.02424,0.632343
0.7210000000000003,1.68,1.21677,0.600935,1.02645,0.651232
0.7410000000000003,1.7,1.21656,0.600956,1.02817,0.670463
0.7610000000000003,1.73,1.2161,0.600929,1.03101,0.689498
0.7810000000000004,1.75,1.21681,0.601293,1.03361,0.708915
0.8010000000000004,1.77,1.21647,0.601078,1.0369,0.728099
0.8210000000000004,1.79,1.21627,0.601486,1.03993,0.747249
0.8410000000000004,1.81,1.21718,0.601848,1.04338,0.766567
0.8610000000000004,1.84,1.21672,0.602156,1.0471,0.785158
0.8810000000000004,1.85,1.21571,0.601714,1.0498,0.789864
0.9010000000000005,1.85,1.21489,0.601456,1.05183,0.788167
0.9210000000000005,1.85,1.21288,0.601011,1.05446,0.785444
0.9410000000000005,1.85,1.21163,0.6008,1.05628,0.783006
0.9610000000000005,1.85,1.20972,0.600248,1.05919,0.780009
0.9810000000000005,1.85,1.20798,0.599697,1.06113,0.777968
