"Input current [A]","Input voltage [V]","VDD [V]","Vref [V]","Voffs [V]","Mirrored Current [V]","dIin [A]","dVin [V]","dVDD [V]","dVref [V]","dVoffs [V]","dImirror [V]"
0.001,0.05,3.9882659999999994e-05,4.090667e-05,0.10214718,0.00010824470000000001,1e-06,5e-05,1.9474206065983796e-05,2.883228667327653e-06,0.026063765580046177,1.3468852957843105e-08
0.021,0.66,0.7729447000000002,0.42939150000000004,0.8786012,0.0001079447,2.1000000000000002e-05,0.00066,0.00013716490075816256,3.854413055188002e-05,2.2355312567705058e-05,1.0918333206125728e-08
0.041,1.16,1.159587,0.44225570000000003,1.156592,0.0001076827,4.1e-05,0.00116,3.6891733491375103e-05,2.474287776310736e-05,2.8213471959310404e-05,9.423905772023596e-09
0.061,1.19,1.151588,0.4423224,1.140807,0.00010751249999999999,6.1e-05,0.0011899999999999999,4.019950248452597e-05,2.491666109252568e-05,3.689173349139136e-05,5.239274758971095e-09
0.081,1.2,1.20167,0.44236819999999993,1.034254,0.0001074097,8.1e-05,0.0012,9.348796714014737e-05,3.6339510178322296e-05,0.00010983624174191798,1.7916472867173406e-09
0.101,1.2,1.201847,0.4423344,1.023814,0.0001073758,0.000101,0.0012,6.603786792441327e-05,2.7321054152418896e-05,0.0001406556077801438,4.000000000008771e-10
0.12100000000000001,1.21,1.203268,0.44245260000000003,1.014208,0.0001073994,0.00012100000000000001,0.00121,8.646386528486188e-05,1.9571407716355177e-05,7.386474125046666e-05,2.1540659228526107e-09
0.14100000000000001,1.21,1.2059710000000001,0.4424867,1.007005,0.00010747170000000002,0.000141,0.00121,0.0001580158219926187,2.6873965096350856e-05,9.41541289588349e-05,4.3600458713190926e-09
0.161,1.22,1.2100639999999998,0.44261149999999994,1.002411,0.0001075932,0.000161,0.00122,0.0001549967741599613,1.7557049866077947e-05,0.00010251341375645985,5.5461698495441755e-09
0.181,1.23,1.213557,0.44263779999999997,1.0005000000000002,0.00010774209999999998,0.000181,0.00123,0.0002858688510488633,3.340299387779299e-05,0.00016858232410308884,6.847627326307376e-09
0.20099999999999998,1.23,1.2149649999999999,0.44273939999999995,0.9998058999999999,0.00010793300000000001,0.00020099999999999998,0.00123,0.00023044522125661716,1.9830279876995082e-05,8.550374260814239e-05,8.366600265341931e-09
0.22099999999999997,1.24,1.2163909999999998,0.4427579,0.9993738999999999,0.0001081574,0.00022099999999999998,0.00124,0.00014300000000000128,3.10497987111e-05,0.00015532317921031726,1.0111379727811659e-08
0.24099999999999996,1.24,1.216372,0.44290129999999994,0.9997064,0.00010844000000000001,0.00024099999999999998,0.00124,0.00021848569747239262,1.705901521191581e-05,0.00011674604918368972,1.2513992168768133e-08
0.26099999999999995,1.25,1.2164139999999999,0.4429385,0.9997865999999999,0.0001087474,0.00026099999999999995,0.00125,0.00025310867231290087,2.732855649316141e-05,0.00011910684279251715,1.313164117694283e-08
0.28099999999999997,1.26,1.2169310000000002,0.44293360000000004,1.00098,0.00010907219999999999,0.000281,0.00126,0.00020810814496313336,2.646204829562623e-05,0.00011661903789687031,1.3548431643552396e-08
0.301,1.27,1.216241,0.44305269999999997,1.001075,0.00010943419999999998,0.000301,0.00127,0.0002285804016096194,3.1324271739339045e-05,0.00021091467469098806,1.5497096502248428e-08
0.321,1.28,1.216268,0.4431501,1.0028600000000003,0.0001098296,0.000321,0.00128,0.00021590738755307385,3.57531816765981e-05,0.0002657818654460852,1.6614451540753315e-08
0.341,1.3,1.215511,0.44326509999999997,1.002881,0.0001102605,0.00034100000000000005,0.0013000000000000002,0.00020944927786935457,1.8790689183745454e-05,0.00013845215780188967,1.809005251512629e-08
0.36100000000000004,1.31,1.215737,0.44339929999999994,1.00328,0.0001107476,0.00036100000000000005,0.0013100000000000002,0.00034606502279196634,2.3276812496564053e-05,0.00016370705543744586,2.0751867385854156e-08
0.38100000000000006,1.33,1.2164380000000001,0.443466,1.003881,0.00011123670000000001,0.00038100000000000005,0.00133,0.0002579069599680844,2.5526456863414697e-05,0.00021271812334637332,2.004519892642915e-08
0.4010000000000001,1.35,1.2167559999999997,0.44361379999999995,1.0043849999999999,0.0001117632,0.0004010000000000001,0.00135,0.00026138859959835663,2.900275848950328e-05,0.00021685248442204557,2.204450044795824e-08
0.4210000000000001,1.37,1.216216,0.4437271,1.0052400000000001,0.0001123245,0.0004210000000000001,0.0013700000000000001,0.0003181257612957539,2.4051819058018712e-05,0.00018552627846215867,2.3414738947935874e-08
0.4410000000000001,1.39,1.2164109999999997,0.44386919999999996,1.005938,0.0001129188,0.00044100000000000015,0.00139,0.00022514217730137216,2.1334479135906107e-05,0.00015651198037210958,2.4616254792310994e-08
0.46100000000000013,1.41,1.2167290000000002,0.4439484,1.006853,0.0001134904,0.00046100000000000015,0.00141,0.000242670558576863,2.865030540849757e-05,0.000290139621561749,2.4200000000000703e-08
0.48100000000000015,1.43,1.2162570000000001,0.44410489999999997,1.0078179999999999,0.0001141282,0.00048100000000000014,0.00143,0.00026503018695986895,1.943424812027099e-05,0.00017400000000000876,2.9457766378326597e-08
0.5010000000000001,1.45,1.2163229999999998,0.44422649999999997,1.0085929999999999,0.00011488919999999999,0.0005010000000000001,0.00145,0.00017737248941141251,2.101547049199756e-05,7.403377607551904e-05,2.9805368643919594e-08
0.5210000000000001,1.47,1.21605,0.4443501,1.009965,0.0001156591,0.0005210000000000001,0.00147,0.0001325895923517406,2.51453773087626e-05,0.0002622689459314553,3.254059003767573e-08
0.5410000000000001,1.49,1.216396,0.44443679999999997,1.0112070000000002,0.00011644490000000001,0.0005410000000000001,0.00149,0.0001924681791881625,2.5716920499934443e-05,9.64416922290484e-05,3.334501461987882e-08
0.5610000000000002,1.51,1.2157229999999999,0.44464440000000005,1.0120280000000001,0.00011727270000000002,0.0005610000000000002,0.00151,0.00037029852821744924,3.227754637515657e-05,0.00011249888888340898,3.337678834159911e-08
0.5810000000000002,1.53,1.215605,0.4446976,1.012878,0.000118136,0.0005810000000000002,0.0015300000000000001,0.00020509753777167754,1.2674383614208854e-05,0.0001032279032044913,3.729074952317161e-08
0.6010000000000002,1.55,1.2158339999999999,0.44487299999999996,1.0151940000000002,0.000119144,0.0006010000000000002,0.0015500000000000002,0.00016329115101559953,1.9819182626935724e-05,0.00022760492086069554,4.109014480383356e-08
0.6210000000000002,1.57,1.2165339999999998,0.44498420000000005,1.017546,0.0001201239,0.0006210000000000002,0.00157,0.0002916573331840327,2.8002856997099632e-05,9.254188241006766e-05,4.054491336776979e-08
0.6410000000000002,1.59,1.216107,0.4452205,1.0187089999999999,0.0001211518,0.0006410000000000003,0.00159,0.0001562721984231656,1.8034688796873695e-05,0.00019382724266730518,4.178229290022183e-08
0.6610000000000003,1.61,1.215919,0.44532489999999997,1.020237,0.00012216849999999998,0.0006610000000000002,0.00161,0.00010251341375642867,3.3723730517248854e-05,0.0001977397279253627,4.451348110404656e-08
0.6810000000000003,1.63,1.2167640000000002,0.4455102,1.0226130000000002,0.0001232724,0.0006810000000000003,0.00163,0.00019975985582697096,1.7814600753312865e-05,0.00017686435480337715,4.696850008250221e-08
0.7010000000000003,1.65,1.216908,0.44568119999999994,1.0248389999999998,0.00012442399999999999,0.0007010000000000003,0.00165,0.0001591100248256132,3.514199766660925e-05,0.00016330646037431175,4.595650117230732e-08
0.7210000000000003,1.68,1.216943,0.44566909999999993,1.0273679999999998,0.0001256744,0.0007210000000000003,0.00168,0.00027155294143132747,1.8721378154402993e-05,0.0002721323207559301,5.238931188706181e-08
0.7410000000000003,1.7,1.2171249999999998,0.4458626,1.030043,0.000126853,0.0007410000000000003,0.0017,0.00018271562604222806,2.604688081134016e-05,0.00014184851074297295,4.390671930353795e-08
0.7610000000000003,1.72,1.2167999999999999,0.4459773,1.0323280000000001,0.0001280635,0.0007610000000000004,0.00172,0.00020620378270050507,2.0464847910491063e-05,0.00012843675486404606,4.995848276318686e-08
0.7810000000000004,1.74,1.217553,0.44610669999999997,1.035724,0.00012927120000000002,0.0007810000000000003,0.00174,0.00030036810749481206,1.834148303709758e-05,0.00015232859219464363,5.2575279362073497e-08
0.8010000000000004,1.77,1.21698,0.4461194,1.0387410000000001,0.0001306997,0.0008010000000000004,0.00177,0.00022257582977492675,2.2204504047602603e-05,0.00013352527850560238,6.172203820355003e-08
0.8210000000000004,1.79,1.2169659999999998,0.44623180000000007,1.042318,0.000132141,0.0008210000000000004,0.0017900000000000001,0.00014568459081180425,4.3171286754050535e-05,0.00016104657711356126,5.282045058498047e-08
0.8410000000000004,1.81,1.216721,0.4462357,1.0465490000000002,0.0001336321,0.0008410000000000004,0.0018100000000000002,0.0001526073392730481,1.810000000000036e-05,0.00021300000000001995,5.5595773220632284e-08
0.8610000000000004,1.84,1.216654,0.44629699999999994,1.0509939999999998,0.0001351175,0.0008610000000000004,0.00184,0.00022190989162270555,2.402914896537029e-05,0.00012831211945876759,6.307495541020999e-08
0.8810000000000004,1.86,1.216069,0.44629510000000006,1.055886,0.0001367159,0.0008810000000000005,0.00186,0.0001922212267154804,3.3281977104728076e-05,0.00015628179676469952,7.020890256940247e-08
0.9010000000000005,1.89,1.214776,0.44628379999999995,1.0611209999999998,0.0001382723,0.0009010000000000004,0.00189,0.00026050719759733356,3.785181633687323e-05,0.00011631422956803284,6.092954948134682e-08
0.9210000000000005,1.91,1.2128160000000001,0.44615669999999996,1.066311,0.0001401432,0.0009210000000000005,0.00191,0.0002957093167284554,2.1822236365694164e-05,0.00017722584461641805,7.631880502208886e-08
0.9410000000000005,1.94,1.21006,0.44605300000000003,1.072972,0.0001419607,0.0009410000000000005,0.0019399999999999999,0.00022565460332108877,2.4681977230364026e-05,0.0001407693148380899,7.243762834328818e-08
0.9610000000000005,1.97,1.205865,0.445864,1.080233,0.00014383619999999998,0.0009610000000000006,0.00197,0.00017923448328935023,1.1224972160316732e-05,0.0001296186714944863,8.89997752806188e-08
0.9810000000000005,1.98,1.1996120000000001,0.4455908,1.087522,0.0001459124,0.0009810000000000005,0.00198,0.00020884443971530713,2.9136918162360835e-05,0.00013347658970769874,8.178288329473119e-08
